id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,instrumentalness,liveness,mode
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,0.02,0.12,1
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,0.85,0.08,0
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,0.05,0.22,0
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,0.90,0.07,0
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,0.01,0.10,1
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,0.92,0.06,0
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,0.45,0.38,1
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,0.78,0.09,0
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,0.88,0.07,0
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,0.03,0.14,1
11,Crown the Block,Verse Titan,hip-hop,confident,0.84,95,0.72,0.91,0.08,0.04,0.11,0
12,Moonlight Sonata Reimagined,Clara Voss,classical,peaceful,0.18,58,0.74,0.22,0.97,0.98,0.15,0
13,Velvet Hour,Sable & June,r&b,romantic,0.55,88,0.78,0.68,0.42,0.06,0.13,1
14,Gravel Road Home,Dusty Pines,country,nostalgic,0.46,104,0.66,0.57,0.83,0.08,0.28,1
15,Iron Curtain,Wraith Protocol,metal,angry,0.97,168,0.21,0.58,0.04,0.12,0.31,0
16,Island Frequency,Coral Drift,reggae,uplifting,0.58,76,0.80,0.74,0.61,0.15,0.24,1
17,Three AM and Rain,Hollow Reed,blues,melancholic,0.33,66,0.28,0.41,0.88,0.22,0.42,0
18,Strobe Garden,Nova Flux,edm,euphoric,0.95,140,0.88,0.94,0.03,0.62,0.08,1
